invoice_number,vendor,invoice_date,total_amount,currency,total_amount_usd,source_file,flag_failed,flag_line_total_mismatch,line_items
INV-6245,Umbrella Corporation Inc,2025-10-14,1.305,EUR,1.4094,13.pdf,False,True,"[{'description': 'Premium support plan', 'amount': 1.305}, {'description': 'Server hardware', 'amount': 2.02}]"
INV-82195,Pied Piper Llc,21.12.2025,11239.16,GBP,14273.7332,130.pdf,False,True,"[{'description': 'System installation', 'amount': 656.48}, {'description': 'License renewal', 'amount': 2296.14}, {'description': 'Consulting hours', 'amount': 1961.32}, {'description': 'Annual software license', 'amount': 416.9}]"
INV-81973,Nakatomi Trading,13.03.2026,2075.0,EUR,2241.0,131.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 408.4}, {'description': 'Freight and shipping', 'amount': 166.66}, {'description': 'Subtotal', 'amount': 2075.0}]"
INV-57851-INV,Globex Llc,2025-04-28,16.875,EUR,18.225,132.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 1.866}, {'description': 'Onsite Training', 'amount': 998.2}, {'description': 'Design Work', 'amount': 2775.48}, {'description': 'Quarterly Maintenance', 'amount': 1049.67}, {'description': 'Consulting Hours', 'amount': 865.1}]"
INV_2026_52456,Wonka Industries,2025-10-03,10910.5,INR,130.92600000000002,133.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 317.56}, {'description': 'Spare Parts', 'amount': 3245.88}, {'description': 'Annual Software License', 'amount': 6355.2}]"
INV-88773,Cyberdyne Systems,12.01.2025,11127.02,EUR,12017.181600000002,134.pdf,False,,"[{'description': 'Spare parts', 'amount': 7173.54}, {'description': 'Quarterly maintenance', 'amount': 1959.48}, {'description': 'System installation', 'amount': 1994.0}]"
INV. 56014/INV.,Cyberdyne Systems,"Mar 17, 2025",14857.66,EUR,16046.2728,135.pdf,False,,"[{'description': 'Consulting Hours', 'amount': 2521.17}, {'description': 'Quarterly Maintenance', 'amount': 4085.37}, {'description': 'Cloud Hosting', 'amount': 3006.42}, {'description': 'Spare Parts', 'amount': 835.9}, {'description': 'Premium Support Plan', 'amount': 4408.8}]"
INV-64050,Soylent Corp,2025-04-07,14568.83,EUR,15734.3364,136.pdf,False,True,"[{'description': 'Design work', 'amount': 5966.72}, {'description': 'System installation', 'amount': 5233.7}, {'description': 'Premium support plan', 'amount': 2747.96}, {'description': 'Design work', 'amount': 6204.5}]"
INV-77603,Wonka Industries,2026-11-01,13122.84,GBP,16666.0068,137.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 2004.94}, {'description': 'Data Subscription', 'amount': 3326.8}, {'description': 'Onsite Training', 'amount': 2695.04}, {'description': 'Consulting Hours', 'amount': 3483.08}, {'description': 'Spare Parts', 'amount': 640.92}]"
INV-1763,Acme Corp,2026-12-25,1.3644,EUR,1.4735520000000002,138.pdf,False,True,"[{'description': 'License renewal', 'amount': 1719.46}, {'description': 'Annual software license', 'amount': 1364.4}, {'description': 'Security audit', 'amount': 965.16}]"
,Bluth Company,,23.92,GBP,30.378400000000003,139.pdf,False,,[]
INV-33776,Umbrella Corporation Inc,2026-11-12,3.88492,EUR,4.1957136,14.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 1.79046}, {'description': 'License Renewal', 'amount': 1.33604}, {'description': 'Design Work', 'amount': 470.65}]"
INV-24736,Wayne Enterprises Ltd,2026-03-22,4383.06,USD,4383.06,141.pdf,False,,"[{'description': 'Server Hardware', 'amount': 3174.32}, {'description': 'Freight and Shipping', 'amount': 1208.74}]"
INV/77029,Wayne Enterprises Ltd,04.11.2025,6573.52,GBP,8348.3704,142.pdf,False,True,"[{'description': 'System Installation', 'amount': 1920.3}, {'description': 'Premium Support Plan', 'amount': 4154.72}, {'description': 'Document 2026/INV/77029', 'amount': 6075.02}]"
32303-INV,Soylent Corp,2026-03-26,4395.78,INR,52.749359999999996,143.pdf,False,True,"[{'description': 'System installation', 'amount': 3400.92}, {'description': 'License renewal', 'amount': 595.24}]"
INV-39619,Nakatomi Trading,2025-12-04,2216.72,USD,2216.72,145.pdf,False,,"[{'description': 'Consulting hours', 'amount': 495.64}, {'description': 'Server hardware', 'amount': 1721.08}]"
INV-2026/33331,Soylent Corp,09.05.2025,22502.78,INR,270.03336,146.pdf,False,,"[{'description': 'Spare parts', 'amount': 4096.68}, {'description': 'Design work', 'amount': 7540.92}, {'description': 'Quarterly maintenance', 'amount': 408.9}, {'description': 'Consulting hours', 'amount': 1436.96}, {'description': 'Design work', 'amount': 9019.32}]"
INV-45614,Aperture Labs,2025-06-24,4266.14,INR,51.19368000000001,147.pdf,False,True,"[{'description': 'Onsite training', 'amount': 287.12}, {'description': 'License renewal', 'amount': 742.5}, {'description': 'Quarterly maintenance', 'amount': 2345.07}, {'description': 'Design work', 'amount': 688.3}]"
INV.123456,Wonka Industries,16.10.2026,12326.66,EUR,13312.792800000001,148.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 130045.45}, {'description': 'Onsite training', 'amount': 22676.0}, {'description': 'Data subscription', 'amount': 65664.0}, {'description': 'License renewal', 'amount': 237105.0}, {'description': 'Onsite training', 'amount': 186200.0}]"
97824-INV,Pied,2026-09-02,2364.07,GBP,3002.3689000000004,149.pdf,False,True,"[{'description': 'License Renewal', 'amount': 1421.28}, {'description': 'Consulting Hours', 'amount': 792.12}]"
R. O'Neil,Oscorp Industries,2025-11-01,4773.55,INR,57.2826,15.pdf,False,,"[{'description': 'License Renewal', 'amount': 3439.36}, {'description': 'Design Work', 'amount': 312.99}, {'description': 'Data Subscription', 'amount': 499.44}, {'description': 'Annual Software License', 'amount': 521.76}]"
INV-39398,Wayne Enterprises Ltd,18.01.2026,14056.88,EUR,15181.4304,150.pdf,False,,"[{'description': 'License renewal', 'amount': 6715.44}, {'description': 'System installation', 'amount': 729.71}, {'description': 'License renewal', 'amount': 762.93}, {'description': 'Design work', 'amount': 5190.1}, {'description': 'License renewal', 'amount': 658.7}]"
INV-73386,Globex Llc,2026-07-03,10000.0,USD,10000.0,151.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 3703.7}, {'description': 'License Renewal', 'amount': 2785.64}, {'description': 'Quarterly Maintenance', 'amount': 106.32}, {'description': 'License Renewal', 'amount': 556.51}]"
58800-INV,Vandelay Industries,2026-02-26,19575.72,INR,234.90864000000002,152.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 2223.35}, {'description': 'Data Subscription', 'amount': 1074.37}, {'description': 'System Installation', 'amount': 7229.09}, {'description': 'Design Work', 'amount': 4826.99}, {'description': 'Annual Software License', 'amount': 4209.42}]"
INV-89322,Gekko And Co,11.12.2026,6133.96,GBP,7790.1292,155.pdf,False,True,"[{'description': 'Security Audit', 'amount': 2912.0}, {'description': 'Design Work', 'amount': 292.68}, {'description': 'Data Subscription', 'amount': 2889.28}]"
48416-INV,Bluth Company,2026-11-04,10371.75,USD,10371.75,156.pdf,False,True,"[{'description': 'Onsite training', 'amount': 2358.06}, {'description': 'Design work', 'amount': 399.26}, {'description': 'Server hardware', 'amount': 2539.7}, {'description': 'License renewal', 'amount': 4120.48}]"
INV/85710,Oscorp Industries,2026-05-16,8688.78,INR,104.26536000000002,157.pdf,False,True,"[{'description': 'Freight and shipping', 'amount': 322.77}, {'description': 'Quarterly maintenance', 'amount': 7076.2}, {'description': 'Cloud hosting', 'amount': 609.16}, {'description': 'Subtotal', 'amount': 8008.13}, {'description': 'Tax', 'amount': 640.65}, {'description': 'Shipping', 'amount': 40.0}]"
INV-28314,Globex Llc,2026-11-09,16244.19,INR,194.93028,158.pdf,False,,"[{'description': 'cloud hosting', 'amount': 9578.47}, {'description': 'cloud hosting', 'amount': 657.16}, {'description': 'system installation', 'amount': 6008.56}]"
INV-58592,Oscorp Industries,"Jul 27, 2025",12692.94,INR,152.31528,16.pdf,False,True,"[{'description': 'Design work', 'amount': 2224.6}, {'description': 'Spare parts', 'amount': 9244.29}, {'description': 'Onsite training', 'amount': 70.15}]"
INV-20391-INV,Acme Corp,2025-04-09,18406.02,GBP,23375.6454,160.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 3324.28}, {'description': 'Data Subscription', 'amount': 4051.8}, {'description': 'Data Subscription', 'amount': 617.48}, {'description': 'Spare Parts', 'amount': 691.59}, {'description': 'Consulting Hours', 'amount': 6653.2}]"
INV-85105-INV,Nakatomi Trading,2026-12-16,18873.18,USD,18873.18,161.pdf,False,True,"[{'description': 'License Renewal', 'amount': 600.75}, {'description': 'Premium Support Plan', 'amount': 6978.87}, {'description': 'System Installation', 'amount': 6011.19}, {'description': 'Cloud Hosting', 'amount': 2369.51}]"
INV-27212,Gekko And Co,2025-01-28,8664.36,GBP,11003.737200000001,162.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 8664.36}, {'description': 'License Renewal', 'amount': 1132.64}, {'description': 'Onsite Training', 'amount': 2993.95}]"
INV/31748,Nakatomi Trading,2026-05-25,9925.93,EUR,10720.004400000002,165.pdf,False,True,"[{'description': 'Design work', 'amount': 377.3}, {'description': 'Cloud hosting', 'amount': 4370.88}, {'description': 'License renewal', 'amount': 1312.65}, {'description': 'Spare parts', 'amount': 2059.2}, {'description': 'Onsite training', 'amount': 1333.24}]"
INV-23156,Initech Inc,2025-04-26,5.37966,EUR,5.810032800000001,166.pdf,False,True,"[{'description': 'Design work', 'amount': 4.14216}, {'description': 'Premium support plan', 'amount': 748.44}]"
INV-2026/78025,Vandelay Industries,2025-01-28,11247.84,GBP,14284.756800000001,169.pdf,False,,"[{'description': 'Security Audit', 'amount': 3184.8}, {'description': 'Onsite Training', 'amount': 5248.8}, {'description': 'Server Hardware', 'amount': 840.31}, {'description': 'Freight and Shipping', 'amount': 1973.93}]"
INV/74453,Cyberdyne Systems,03.01.2025,12699.21,GBP,16127.9967,17.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 6236.37}, {'description': 'Freight and Shipping', 'amount': 1396.85}, {'description': 'Security Audit', 'amount': 3094.92}]"
INV-96054,Black Mesa Supplies,2025-05-08,15.627,EUR,16.877160000000003,170.pdf,False,True,"[{'description': 'Consulting hours', 'amount': 5.93416}, {'description': 'Annual software license', 'amount': 855.57}, {'description': 'Quarterly maintenance', 'amount': 1.13754}]"
INV/42414,Wonka Industries,2026-05-24,11489.89,USD,11489.89,171.pdf,False,True,"[{'description': 'Quarterly maintenance', 'amount': 1756.56}, {'description': 'Onsite training', 'amount': 636.93}, {'description': 'Design work', 'amount': 8233.72}]"
95808-INV,Hooli Inc,2026-05-14,26581.41,GBP,33758.3907,172.pdf,False,True,"[{'description': 'Spare Parts', 'amount': 2727.92}, {'description': 'Design Work', 'amount': 4562.64}, {'description': 'Freight and Shipping', 'amount': 1905.03}, {'description': 'Freight and Shipping', 'amount': 8912.09}, {'description': 'Quarterly Maintenance', 'amount': 6057.24}]"
INV-2316-INV,Black Mesa Supplies,2026-02-27,10167.22,INR,122.00663999999999,173.pdf,False,True,"[{'description': 'License Renewal', 'amount': 4352.4}, {'description': 'Quarterly Maintenance', 'amount': 393.06}, {'description': 'Annual Software License', 'amount': 1326.06}, {'description': 'Server Hardware', 'amount': 2664.28}, {'description': 'Onsite Training', 'amount': 1418.92}]"
INV. 57602/INV.,Pied Periferia Llc,2026-06-27,5234.48,GBP,6647.789599999999,174.pdf,False,True,"[{'description': 'License Renewal', 'amount': 3784.22}, {'description': 'Security Audit', 'amount': 974.4}]"
INV-64597,Wonka Industries,2026-06-08,11.80386,EUR,12.748168800000002,175.pdf,False,True,"[{'description': 'Freight and shipping', 'amount': 4.1722}, {'description': 'Quarterly maintenance', 'amount': 6.7573}]"
INV-79242,Nakatomi Trading,,154.44,GBP,196.1388,176.pdf,False,,[]
INV. 56919,Black Mesa Supplies,2025-05-25,12632.21,INR,151.58651999999998,177.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 1609.29}, {'description': 'Security Audit', 'amount': 4647.2}, {'description': 'Security Audit', 'amount': 84.92}, {'description': 'Spare Parts', 'amount': 3952.44}, {'description': 'Consulting Hours', 'amount': 1189.98}]"
INV-87359,Hooli Inc,2025-03-24,5111.68,USD,5111.68,178.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 1884.48}, {'description': 'Consulting Hours', 'amount': 2825.41}]"
INV-28860,Acme Corp,2026-06-16,11976.04,INR,143.71248,179.pdf,False,True,"[{'description': 'Security Audit', 'amount': 5647.88}, {'description': 'Freight and Shipping', 'amount': 5239.43}]"
INV-2026/97587,Hooli Inc,2025-10-27,12917.27,USD,12917.27,18.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 3498.08}, {'description': 'Onsite Training', 'amount': 2565.92}, {'description': 'Quarterly Maintenance', 'amount': 1014.4}, {'description': 'Spare Parts', 'amount': 481.92}, {'description': 'Server Hardware', 'amount': 3386.52}]"
4694-INV,Oscorp Industries,2026-06-25,2208.05,CAD,2208.05,181.pdf,False,,"[{'description': 'Security Audit', 'amount': 324.68}, {'description': 'Server Hardware', 'amount': 1883.37}]"
INV.41142,Wayne Enterprises Ltd,2026-03-13,10794.91,USD,10794.91,182.pdf,False,,"[{'description': 'cloud hosting', 'amount': 6424.24}, {'description': 'license renewal', 'amount': 1075.47}, {'description': 'premium support plan', 'amount': 3295.2}]"
INV-20612-INV,Black Mesa Supplies,14.01.2025,16.07255,EUR,17.358354000000002,183.pdf,False,True,"[{'description': 'Consulting hours', 'amount': 6.86072}, {'description': 'Onsite training', 'amount': 4.50056}, {'description': 'Annual software license', 'amount': 3.2274}]"
INV-18152,Umbrella Corporation Inc,2026-11-25,5482.62,GBP,6962.9274,185.pdf,False,True,"[{'description': 'Onsite training', 'amount': 2586.12}, {'description': 'Freight and shipping', 'amount': 1550.25}, {'description': 'Cloud hosting', 'amount': 264.37}, {'description': 'Spare parts', 'amount': 493.08}, {'description': 'Data subscription', 'amount': 548.8}]"
INV-35264,Acme Corp,2025-12-10,10.56861,EUR,11.4140988,186.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 3.20802}, {'description': 'Security Audit', 'amount': 977.73}, {'description': 'Annual Software License', 'amount': 1.42126}, {'description': 'Quarterly Maintenance', 'amount': 1.11948}, {'description': 'Spare Parts', 'amount': 2.88134}]"
INV-11402,Wonka Industries,"Jul 5, 2025",15227.1,INR,182.7252,187.pdf,False,True,"[{'description': 'Security Audit', 'amount': 2737.85}, {'description': 'License Renewal', 'amount': 8027.2}, {'description': 'Data Subscription', 'amount': 831.88}, {'description': 'Data Subscription', 'amount': 2502.24}]"
INV-99900,Tyrell Corp,2026-05-20,11.9759,EUR,12.933972,188.pdf,False,True,"[{'description': 'Premium support plan', 'amount': 875.69}, {'description': 'Design work', 'amount': 291.72}, {'description': 'Premium support plan', 'amount': 770.59}, {'description': 'System installation', 'amount': 705.29}]"
INV. 50965,Acme Corp,2025-03-20,6599.33,INR,79.19196,189.pdf,False,True,"[{'description': 'Quarterly Maintenance', 'amount': 812.0}, {'description': 'Quarterly Maintenance', 'amount': 5762.33}]"
INV-72483,Wayne Enterprises Ltd,2026-07-28,11709.74,GBP,14871.3698,19.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 792.85}, {'description': 'Design Work', 'amount': 3661.75}, {'description': 'Security Audit', 'amount': 119.49}]"
INV/59643,Pied Piper Llc,2026-09-23,14936.67,INR,179.24004,190.pdf,False,,"[{'description': 'Freight and Shipping', 'amount': 3812.64}, {'description': 'Annual Software License', 'amount': 324.75}, {'description': 'Security Audit', 'amount': 10799.28}]"
INV-7893,Gekko And Co,2026-06-22,6480.48,GBP,8230.2096,191.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 5023.74}, {'description': 'License Renewal', 'amount': 428.34}, {'description': 'Data Subscription', 'amount': 1028.4}]"
INV-3514,Nakatomi Trading,2026-11-23,12053.44,USD,12053.44,192.pdf,False,,"[{'description': 'Cloud Hosting', 'amount': 3063.04}, {'description': 'Cloud Hosting', 'amount': 8990.4}]"
INV-30531,Umbrella Corporation Inc,2026-04-28,18853.21,GBP,23943.576699999998,193.pdf,False,True,"[{'description': 'Security Audit', 'amount': 2043.0}, {'description': 'Annual Software License', 'amount': 636.96}, {'description': 'Onsite Training', 'amount': 3399.55}, {'description': 'System Installation', 'amount': 8096.22}, {'description': 'System Installation', 'amount': 3767.8}]"
INV-16905,Nakatomi Trading,2025-01-03,2411.62,GBP,3062.7574,195.pdf,False,True,"[{'description': 'Consulting Hours', 'amount': 762.48}, {'description': 'Data Subscription', 'amount': 1060.0}, {'description': 'Consulting Hours', 'amount': 576.64}]"
INV-10513,Oscorp Industries,07.06.2026,13735.64,INR,164.82768,196.pdf,False,True,"[{'description': 'Design work', 'amount': 703.88}, {'description': 'Consulting hours', 'amount': 3771.65}, {'description': 'License renewal', 'amount': 6615.95}, {'description': 'Cloud hosting', 'amount': 2067.0}, {'description': 'Subscription fees', 'amount': 13735.64}]"
INV-20340,Stark Industries Llc,2026-08-09,19877.1,GBP,25243.916999999998,197.pdf,False,True,"[{'description': 'Design work', 'amount': 9777.48}, {'description': 'Server hardware', 'amount': 6180.13}, {'description': 'Premium support plan', 'amount': 205.92}, {'description': 'Onsite training', 'amount': 2218.04}]"
INV. Account for remittance AC4486221,Stark Industries Llc,2025-03-01,6430.24,INR,77.16288,198.pdf,False,True,"[{'description': 'Premium Support Plan', 'amount': 1500.48}, {'description': 'Data Subscription', 'amount': 1540.16}, {'description': 'Spare Parts', 'amount': 1945.7}, {'description': 'Spare Parts', 'amount': 372.19}]"
INV-93354,Aperture Labs,07.11.2025,18087.55,CAD,18087.55,199.pdf,False,True,"[{'description': 'Cloud Hosting', 'amount': 7648.92}, {'description': 'Security Audit', 'amount': 7753.8}, {'description': 'Design Work', 'amount': 1333.44}]"
INV. 12345,Stark Industries Llc,2026-02-16,16866.31,USD,16866.31,2.pdf,False,,"[{'description': 'Premium support plan', 'amount': 3860.56}, {'description': 'License renewal', 'amount': 893.5}, {'description': 'Design work', 'amount': 2786.0}, {'description': 'Freight and shipping', 'amount': 630.81}, {'description': 'Spare parts', 'amount': 8695.44}]"
INV-69884,Gekko And Co,2026-11-04,18767.0,INR,225.204,200.pdf,False,,"[{'description': 'Onsite training', 'amount': 6471.99}, {'description': 'License renewal', 'amount': 4633.02}, {'description': 'System installation', 'amount': 4218.27}, {'description': 'Server hardware', 'amount': 3443.72}]"
89322-INV,Gekko And Co,2026-12-11,6093.96,GBP,7739.3292,201.pdf,False,,"[{'description': 'Security Audit', 'amount': 2912.0}, {'description': 'Design Work', 'amount': 292.68}, {'description': 'Data Subscription', 'amount': 2889.28}]"
INV-15755-INV,Wonka Industries,2026-02-13,14725.12,EUR,15903.129600000002,203.pdf,False,True,"[{'description': 'Annual Software License', 'amount': 3968.0}, {'description': 'Consulting Hours', 'amount': 817.06}, {'description': 'Design Work', 'amount': 421.71}, {'description': 'License Renewal', 'amount': 283.69}, {'description': 'Consulting Hours', 'amount': 218.49}]"
INV-59792,Pied Piper Llc,2025-12-02,11895.57,EUR,12847.215600000001,204.pdf,False,True,"[{'description': 'Data Subscription', 'amount': 5243.46}, {'description': 'Data Subscription', 'amount': 4866.96}, {'description': 'Quarterly Maintenance', 'amount': 65247.0}, {'description': 'Freight and Shipping', 'amount': 98094.0}, {'description': 'Quarterly Maintenance', 'amount': 15174.0}]"
INV-51767,Gekko And Co,2026-09-23,19511.43,EUR,21072.3444,205.pdf,False,True,"[{'description': 'Design work', 'amount': 6100.8}, {'description': 'Premium support plan', 'amount': 7591.44}, {'description': 'Onsite training', 'amount': 4878.17}]"
INV-35932,Aperture Labs,12.05.2025,10.1211,EUR,10.930788000000002,207.pdf,False,True,"[{'description': 'System installation', 'amount': 4.85282}, {'description': 'Consulting hours', 'amount': 4.78632}]"
